800516: 6448008;6355910
816098: 
800445: 7726055;7726054;7726057;7725686;7725898;7726053;7725899;7725851;7725620;7726328;7726327;7726340;7725714;7725713;7725859;7726363;7726355;7726364;7725450;7725451;7725452;7726330;7726064;7725612;7725613;7725614;7726068;7726069;7726065;7726326;7726067;7726388;7726063;7725908;7726342;7725804;7725902;7725900;7725858;7726066;7726334;7726335;7726336;7726331;7725768;7726333;7725766;7725767;7725765;7726338;7726339;7725746;7725747;7726318;7725447;7725448;7726341;7726317;7482359;6892673;7482959;7482958;7482351;7482366;7482368;7482369;6894559;7482367;7482940;6345478;7482962;7482960;7482961;7482372;7595857;7482658;7482309;7482415;7482867;7482866;7482779;7482777;7482776;7482902;7482774;7482612;7482868;7482771;7482775;7482507;7482541;7482882;7482390;7482485;7482872;7482819;7482660;7482808;7483073;7482539;7482538;6919269;6893430;6891343;6893563;6892545;6893571;6893549;6891402;6890994;6893475;6893496;6920482;6893460;6892438;6893466;6890454;6893457;6892430;6919886;6893437;6893517;6891333;6892563;6892390;6892503;6892580;6893583;6893434;6343609;6344077;6343895;6334876;6334870;6344086;6335205;6338554;6338705;6344104;6343726;6330880;6344078;6338842;6343724;6346255;6344080;6345052;6331586;6346636;6343900;6331412;6344107;6344103;6344812;6344079;6331669;6346258;6346858;6331618;6346593;6344959;6343299;6346615;6345699;6344967;6344963;6346884;6447717;6343511;6346869;6343622;6343575;6336622;6331611;6345688;6346648;6331027;6345701;6336531;6346259;6343276;6345249;6343408;6343813;6338774;6338776;6343560;6346885;6334871;6346610;6345690;6344716;6343811;6336816;6336817;6343577;6343470;6327969;6338765;6344082;6338553;6338557;6344715;6346875;6343133;6331580;6337701;6343123;6345456;6331205;6327975;6447880;6346608;6331331;6343727;6345247;6335613;6344845;6336761;6343555;6338706;6346883;6337262;6447721;6344672;6331372;6339067;6346637;6334964;6344403;6346237;6343731;6327973;6330665;6345248;6343613;6343814;6338775;6344404;6346886;6346598;6346876;6343901;6331673;6343728;6338968;6344023;6334877;6346060;6346881;6346888;6346058;6327883;6343930;6331668;6344165;6339260;6334880;6344083;6344405;6346887;6343608;6343611;6343896;6345246;6343812;6346639;6346882;6344482;6344964;6344960;6343545;6339203;6345700;6343503;6336814;6336527;6343712;6338555;6336526;6345455;6346076;6343277;6343612;6339263;6344085;6345250;6330958;6336529;6327927;6343561;6344406;6345251;6343556;6338730;6345403;6344047;6336592;6345363;6346613;6330732;6346611;6447295;6339122;6892523;6893486;6892427;6892588;6893492;6893556;6892481;6892423;6920480;7482771;7482776;7482775;7482868;7482866;7482872;7482541;7482808;7482415;7482774;7482777;7482867;7482882;7482658;7483073;7482612;7482779;7482538;7482507;7482902;7482819;7482485;7482390;7482309;7482539;7482660;7595857
800946: 7595989;6357680;7595989
800839: 7179316;6356028;6356829;6356827;6356826;6356818;6356830;6356831;6356828;6357715;6357366
800935: 6355607;6355606;6355276
800940: 7439384;6355306;6355301;6355302;6355309;6355307;6355303;6357698;7439384
800588: 7311646;6354923;6355618;6704801;6354928;6354921;6354920;6355925;6356593;6354925;6356895;6354924;6360124;6894656;6894662;6885124;6894667
800945: 7725845;7725730;7311598;7311601;7311501;7311500;7311570;7311499;7311498;7311497;7311571;7311573;7311575;7311576;6355184;6355185;6355180;6355189;6355186;6355188;6355183;6355192;6355182;6355191;6355190;6357693;6357705;6920151;6920023;6920055;6920166;6920135;6920038;6920180
800944: 6359782;6359780
800833: 6919592;6327838;6327842;6327839;6327841;6327844;6336231;6336881;6336884;6336883;6336886;6339231;6343219;6343355;6343208;6343211;6339227;6343212;6339230;6343209;6343465;6343700;6343332;6343463;6343464;6346180;6346282;6346178;6346280;6346398;6346391;6346179
800949: 6355222;6355237;6355235;6355233;6355236
800948: 6355655;6355656;6357036
